,,,,Promedio,Desviación
10,,,10,7.836,0.968092554
5.7,3.287856445,,30,7.499333333,0.316992971
6.1,3.330165161,,50,8.2328,0.307700317
6.9,3.047950131,,100,8.2646,0.225315521
7,2.645751311,,200,4.4242,0.211951553
7.2,3.969886648,,500,3.9152,0.133568355
7.2,4.044749683,,1000,7.9283,0.081457976
7.5,3.640054945,,2000,5.04264,0.048766728
7.3,4.05092582,,,,
7.3,3.742993454,,,,
7.6,4.176122604,,,,
7.5,3.930648801,,,,
7.3,3.716180835,,,,
7.4,3.903844259,,,,
7.4,3.746998799,,,,
7.7,4.026164428,,,,
7.9,3.910242959,,,,
7.8,3.487119155,,,,
7.8,4.377213726,,,,
7.7,4.290687591,,,,
7.8,3.789459064,,,,
7.7,3.874274126,,,,
7.4,4.294182111,,,,
7.4,3.954743987,,,,
7.6,3.63868108,,,,
7.6,4.176122604,,,,
8,3.492849839,,,,
7.8,3.815756806,,,,
7.9,3.88458492,,,,
7.1,3.986226286,,,,
8.2,4.166533331,,,,
8.1,4.085339643,,,,
8.2,4.06939799,,,,
8.3,3.874274126,,,,
8.4,3.903844259,,,,
8.1,4.392038251,,,,
7.8,3.867815921,,,,
8.7,5.36749476,,,,
8.6,5.276362383,,,,
9.1,3.806573262,,,,
9.2,3.762977544,,,,
8.4,5.695612346,,,,
8.6,5.607138308,,,,
8.2,6.029925373,,,,
8.7,5.514526272,,,,
8.3,6.309516622,,,,
9.1,6.204030948,,,,
8.2,5.963220606,,,,
8.4,7.964923101,,,,
8.3,3.716180835,,,,
8.3,4.220189569,,,,
,,,,,
30,,,,,
6.466666667,3.383620677,,,,
6.6,3.555277767,,,,
6.9,4.011234224,,,,
7.166666667,4.058598554,,,,
7.333333333,3.690829476,,,,
7.266666667,3.632568727,,,,
7.2,3.69143152,,,,
7.333333333,3.269386623,,,,
7.333333333,3.418901708,,,,
7.166666667,3.60632161,,,,
7.3,3.338163168,,,,
7.333333333,3.22834667,,,,
7.166666667,3.777859476,,,,
7.3,3.387722932,,,,
7.2,3.448671242,,,,
7.333333333,3.379677828,,,,
7.3,3.297979179,,,,
7.333333333,3.309917757,,,,
7.266666667,3.434465833,,,,
7.2,3.609247382,,,,
7.233333333,3.74774006,,,,
7.3,3.475149877,,,,
7.366666667,3.978972508,,,,
7.266666667,3.604934889,,,,
7.4,3.352610923,,,,
7.366666667,3.250470051,,,,
7.366666667,3.177874901,,,,
7.7,4.083707466,,,,
7.733333333,3.463460055,,,,
7.733333333,3.453822359,,,,
7.733333333,3.265305839,,,,
7.466666667,4.153178167,,,,
7.833333333,4.139914116,,,,
7.866666667,3.712441545,,,,
7.866666667,3.739280977,,,,
7.833333333,3.992353803,,,,
7.866666667,3.712441545,,,,
7.8,4.300387579,,,,
7.866666667,4.177186719,,,,
7.9,4.093490768,,,,
7.9,3.645545227,,,,
7.9,4.093490768,,,,
7.9,4.044337605,,,,
7.866666667,3.694440267,,,,
7.9,4.036087214,,,,
7.966666667,4.045436386,,,,
7.866666667,4.00610645,,,,
7.833333333,4.074991479,,,,
7.966666667,4.135080276,,,,
7.866666667,3.887872883,,,,
,,,,,
50,,,,,
7.02,3.823558552,,,,
7.42,5.056045886,,,,
7.66,4.756511327,,,,
7.68,4.03702861,,,,
7.72,4.783471543,,,,
7.86,5.192340513,,,,
7.84,4.30980278,,,,
7.88,4.611463976,,,,
7.98,4.361146638,,,,
8.04,4.195044696,,,,
8.04,4.261267417,,,,
8.02,4.244949941,,,,
8.06,4.323933394,,,,
8.08,4.853205127,,,,
8.14,4.247399204,,,,
8.1,3.966106403,,,,
8.14,4.400045454,,,,
8.2,4.621688003,,,,
8.24,4.091747793,,,,
8.18,3.978391635,,,,
8.2,4.049691346,,,,
8.22,4.109939172,,,,
8.36,4.053442981,,,,
8.36,3.963634696,,,,
8.3,4.143669871,,,,
8.32,5.21321398,,,,
8.4,4.983974318,,,,
8.46,4.364447273,,,,
8.36,4.325551988,,,,
8.38,4.573357629,,,,
8.44,4.387071916,,,,
8.42,4.472538429,,,,
8.38,4.204235959,,,,
8.44,4.409807252,,,,
8.42,4.445627065,,,,
8.44,4.903712879,,,,
8.44,4.3916284,,,,
8.44,4.368798462,,,,
8.42,4.477007929,,,,
8.5,4.346262762,,,,
8.46,4.609598681,,,,
8.42,4.534710575,,,,
8.48,4.341612604,,,,
8.5,4.318564576,,,,
8.64,4.537664598,,,,
8.62,4.511718076,,,,
8.64,4.48,,,,
8.58,4.481472972,,,,
8.66,4.558991116,,,,
8.64,4.48,,,,
,,,,,
100,,,,,
7.57,4.297103676,,,,
7.7,4.162931659,,,,
7.88,4.637413072,,,,
7.93,4.587493869,,,,
8.01,4.239091884,,,,
8.04,4.282335811,,,,
8.04,3.964643742,,,,
8.02,4.342764097,,,,
8.05,4.432550056,,,,
8.12,4.133473116,,,,
8.11,4.300918507,,,,
8.21,3.973147367,,,,
8.23,3.906033794,,,,
8.19,4.160997477,,,,
8.2,4.2,,,,
8.2,4.308131846,,,,
8.23,4.275172511,,,,
8.24,4.027704061,,,,
8.32,4.31017401,,,,
8.3,4.003748244,,,,
8.32,4.122814573,,,,
8.29,4.038056463,,,,
8.32,3.880412349,,,,
8.29,3.826996211,,,,
8.28,3.957473942,,,,
8.3,3.986226286,,,,
8.34,3.983013934,,,,
8.36,4.053442981,,,,
8.31,4.41518969,,,,
8.34,4.463675615,,,,
8.35,3.899679474,,,,
8.38,4.168404971,,,,
8.38,4.43797251,,,,
8.39,4.793526885,,,,
8.36,3.910294107,,,,
8.36,4.581528129,,,,
8.44,4.609381737,,,,
8.43,4.079840683,,,,
8.44,4.231595444,,,,
8.47,4.36910746,,,,
8.47,4.255478821,,,,
8.43,4.306402211,,,,
8.47,4.196319816,,,,
8.44,4.280934477,,,,
8.43,4.262053496,,,,
8.47,4.234276798,,,,
8.4,4.536518489,,,,
8.45,4.421255478,,,,
8.46,4.378173135,,,,
8.47,4.570459495,,,,
,,,,,
200,,,,,
4.385,2.5469148,,,,
4.31,2.292138739,,,,
4.42,2.598768939,,,,
4.27,2.424273087,,,,
4.3,2.242766149,,,,
4.34,2.354654964,,,,
4.365,2.37734621,,,,
4.405,2.724146655,,,,
4.325,2.47575746,,,,
4.385,2.564522373,,,,
4.385,2.481284949,,,,
4.335,2.619689867,,,,
4.39,2.63398937,,,,
4.425,2.363128223,,,,
4.405,2.356050721,,,,
4.405,2.722310599,,,,
4.41,2.54988235,,,,
4.41,2.19360434,,,,
4.46,2.312660805,,,,
4.505,2.416604022,,,,
4.465,2.485714183,,,,
4.445,2.716058725,,,,
4.475,2.781973221,,,,
4.47,2.684976722,,,,
4.44,2.650735747,,,,
4.425,2.571842725,,,,
4.475,2.603723296,,,,
4.415,2.354309878,,,,
4.44,2.606990602,,,,
4.395,2.353502709,,,,
4.445,2.428368794,,,,
4.4,2.603843313,,,,
4.455,2.525465304,,,,
4.365,2.324171896,,,,
4.495,2.701846591,,,,
4.41,2.472225718,,,,
4.465,3.036243567,,,,
4.49,2.677666895,,,,
4.465,2.660596738,,,,
4.5,2.664582519,,,,
4.445,2.875234773,,,,
4.46,2.447120757,,,,
4.52,2.838943465,,,,
4.515,2.630546521,,,,
4.495,3.108050032,,,,
4.395,2.835308625,,,,
4.475,2.866945238,,,,
4.485,2.949538099,,,,
4.38,2.871515279,,,,
4.47,2.988159969,,,,
,,,,,
500,,,,,
3.816,1.184121615,,,,
3.816,1.349868142,,,,
3.85,1.152171862,,,,
3.91,1.252956504,,,,
3.882,1.124311345,,,,
3.854,1.058623635,,,,
3.88,1.097998179,,,,
3.956,1.190824924,,,,
3.87,1.03397292,,,,
3.856,1.048457915,,,,
3.866,1.071468152,,,,
3.874,0.956098321,,,,
3.898,1.067518618,,,,
3.956,1.28765834,,,,
3.896,1.004581505,,,,
3.902,1.052803875,,,,
3.876,1.016181086,,,,
3.95,1.155638352,,,,
3.91,1.030485323,,,,
3.916,1.175135737,,,,
3.904,0.941692094,,,,
3.93,1.346514018,,,,
3.9,1.090871211,,,,
3.886,1.09954718,,,,
3.986,1.114362598,,,,
3.886,0.927903012,,,,
3.994,1.219001231,,,,
3.968,1.129148352,,,,
3.932,0.85754067,,,,
3.894,0.900424344,,,,
3.894,1.019197724,,,,
3.96,1.219180052,,,,
3.996,1.147163458,,,,
3.934,1.024521352,,,,
3.93,1.028153685,,,,
3.904,0.993370022,,,,
3.962,1.05287986,,,,
3.872,1.16086864,,,,
3.99,1.296880873,,,,
3.914,1.067053888,,,,
3.914,0.911374786,,,,
3.996,1.379849267,,,,
3.932,0.977433374,,,,
3.934,1.383345221,,,,
3.95,1.363634848,,,,
3.994,1.319834838,,,,
3.91,0.941222609,,,,
3.932,0.979477412,,,,
3.924,1.182465221,,,,
3.904,1.114802225,,,,
,,,,,
1000,,,,,
7.826,4.294382843,,,,
7.857,4.229249461,,,,
7.868,4.15939611,,,,
7.873,4.127816735,,,,
7.883,4.116225334,,,,
7.9,4.187600745,,,,
7.887,4.21286494,,,,
7.879,4.125088969,,,,
7.903,4.048899974,,,,
7.903,4.025616847,,,,
7.908,4.237633302,,,,
7.915,4.136638128,,,,
7.906,4.103067633,,,,
7.895,4.313464385,,,,
7.902,4.224972899,,,,
7.918,4.140926949,,,,
7.923,4.127598697,,,,
7.919,4.062319411,,,,
7.933,4.234207246,,,,
7.924,4.131370717,,,,
7.934,4.120879032,,,,
7.909,4.240367791,,,,
7.948,4.115008627,,,,
7.927,4.061240082,,,,
7.93,4.094276493,,,,
7.933,4.351150538,,,,
7.93,4.020335807,,,,
7.936,4.060037438,,,,
7.945,4.174922155,,,,
7.94,4.062314611,,,,
7.946,4.020582545,,,,
7.961,4.048886143,,,,
7.954,4.294401472,,,,
7.939,4.114763541,,,,
7.96,4.092969582,,,,
7.971,4.092207106,,,,
7.959,4.103330233,,,,
7.964,4.117851867,,,,
7.962,4.030701676,,,,
7.953,4.069003686,,,,
7.95,4.117462811,,,,
7.963,4.141452764,,,,
7.972,4.165479084,,,,
7.947,4.067700948,,,,
7.958,4.208115493,,,,
7.952,4.072062868,,,,
7.953,4.045341889,,,,
7.958,4.110989662,,,,
7.974,4.050348627,,,,
7.965,4.248738048,,,,
,,,,,
2000,,,,,
5.045,2.830013251,,,,
5.0235,2.799097667,,,,
5.0605,2.923839898,,,,
5.043,2.818714423,,,,
5.0405,2.872256909,,,,
5.066,2.90097294,,,,
5.0245,2.830529942,,,,
5.1,2.831607317,,,,
5.0255,2.877299037,,,,
5.071,2.849554176,,,,
5.0445,2.846316874,,,,
5.068,2.888317157,,,,
5.0565,2.818919607,,,,
5.0145,2.834129452,,,,
5.0265,2.832983895,,,,
5.0735,2.884631302,,,,
4.993,2.861634323,,,,
5.1045,2.930798483,,,,
5.0145,2.826533168,,,,
5.0275,2.913544877,,,,
5.0085,2.809168516,,,,
5.113,2.93806586,,,,
5.039,2.804546131,,,,
5.0195,2.913437789,,,,
5.0445,2.856837368,,,,
5.0545,2.833642488,,,,
4.993,2.863031785,,,,
5.09,2.985280556,,,,
5.0615,2.759296604,,,,
5.0115,2.808089698,,,,
5.049,2.910601141,,,,
5.0455,2.889018821,,,,
5.0385,2.891715365,,,,
5.0565,2.949628409,,,,
5.074,2.939817001,,,,
5.0335,2.922905703,,,,
5.0695,2.91336056,,,,
5.009,2.844805617,,,,
5.034,2.858818637,,,,
5.057,2.901163732,,,,
5.0415,2.925709786,,,,
5.024,2.885207791,,,,
5.0355,2.920143789,,,,
5.066,2.879695123,,,,
5.056,2.89945926,,,,
5.046,2.97403497,,,,
5.0395,2.843578687,,,,
4.9995,2.853506571,,,,
5.0025,2.934193884,,,,
4.9975,2.912643773,,,,
